# MINIFIGURE SERIES
// 71037-2	Minifigure, Series 24 (Complete Series of 12 Complete Minifigure Sets)
col17-2	col17 Circus Strongman, Series 17
col17-9	col17 Connoisseur, Series 17
col17-4	col17 Corn Cob Guy, Series 17
col17-14	col17 Dance Instructor, Series 17
col17-15	col17 Elf Maiden, Series 17
col17-3	col17 Gourmet Chef, Series 17
col17-6	col17 Hot Dog Vendor, Series 17
col17-1	col17 Pro Surfer, Series 17
col17-11	col17 Retro Space Hero, Series 17
col17-13	col17 Rocket Boy, Series 17
col17-8	col17 Roman Gladiator, Series 17
col17-16	col17 The Mystery Man (Highwayman), Series 17
col17-5	col17 Veterinarian, Series 17
col17-12	col17 Yuppie, Series 17

// 71012-2	Minifigure, Disney, Series 1 (Complete Series of 18 Complete Minifigure Sets)
coldis-4	coldis Aladdin, Disney, Series 1
coldis-7	coldis Alice, Disney, Series 1
coldis-2	coldis Alien, Disney, Series 1
coldis-18	coldis Ariel, Disney, Series 1
coldis-3	coldis Buzz Lightyear, Disney, Series 1
coldis-16	coldis Captain Hook, Disney, Series 1
coldis-8	coldis Cheshire Cat, Disney, Series 1
coldis-9	coldis Daisy Duck, Disney, Series 1
coldis-10	coldis Donald Duck, Disney, Series 1
coldis-5	coldis Genie, Disney, Series 1
coldis-6	coldis Maleficent, Disney, Series 1
coldis-12	coldis Mickey Mouse, Disney, Series 1
coldis-11	coldis Minnie Mouse, Disney, Series 1
coldis-13	coldis Mr. Incredible, Disney, Series 1
coldis-15	coldis Peter Pan, Disney, Series 1
coldis-1	coldis Stitch, Disney, Series 1
coldis-14	coldis Syndrome, Disney, Series 1
coldis-17	coldis Ursula, Disney, Series 1

// 71024-2	Minifigure, Disney, Series 2 (Complete Series of 18 Complete Minifigure Sets)
coldis2-10	coldis2 Anna, Disney, Series 2
coldis2-7	coldis2 Chip, Disney, Series 2
coldis2-8	coldis2 Dale, Disney, Series 2
coldis2-4	coldis2 Dewey Duck, Disney, Series 2
coldis2-17	coldis2 Edna Mode, Disney, Series 2
coldis2-9	coldis2 Elsa, Disney, Series 2
coldis2-18	coldis2 Frozone, Disney, Series 2
coldis2-13	coldis2 Hades, Disney, Series 2
coldis2-14	coldis2 Hercules, Disney, Series 2
coldis2-3	coldis2 Huey Duck, Disney, Series 2
coldis2-16	coldis2 Jack Skellington, Disney, Series 2
coldis2-11	coldis2 Jafar, Disney, Series 2
coldis2-12	coldis2 Jasmine, Disney, Series 2
coldis2-5	coldis2 Louie Duck, Disney, Series 2
coldis2-15	coldis2 Sally, Disney, Series 2
coldis2-6	coldis2 Scrooge McDuck, Disney, Series 2
coldis2-1	coldis2 Vintage Mickey, Disney, Series 2
coldis2-2	coldis2 Vintage Minnie, Disney, Series 2

// 71033-2	Minifigure, The Muppets (Complete Series of 12 Complete Minifigure Sets)
coltm-8	coltm Animal, The Muppets
coltm-3	coltm Beaker, The Muppets
coltm-2	coltm Dr. Bunsen Honeydew, The Muppets
coltm-7	coltm Fozzie Bear, The Muppets
coltm-4	coltm Gonzo, The Muppets
coltm-12	coltm Janice, The Muppets
coltm-5	coltm Kermit the Frog, The Muppets
coltm-6	coltm Miss Piggy, The Muppets
coltm-1	coltm Rowlf the Dog, The Muppets
coltm-10	coltm Statler, The Muppets
coltm-11	coltm Swedish Chef, The Muppets
coltm-9	coltm Waldorf, The Muppets

// 71005-2	Minifigure, The Simpsons, Series 1 (Complete Series of 16 Complete Minifigure Sets)
colsim-16	colsim Mr. Burns, The Simpsons, Series 1
colsim-11	colsim Apu Nahasapeemapetilon, The Simpsons, Series 1	#MISSING
colsim-2	colsim Bart Simpson, The Simpsons, Series 1	#MISSING
colsim-15	colsim Chief Wiggum, The Simpsons, Series 1	#MISSING
colsim-6	colsim Grampa Simpson, The Simpsons, Series 1	#MISSING
colsim-1	colsim Homer Simpson, The Simpsons, Series 1	#MISSING
colsim-13	colsim Itchy, The Simpsons, Series 1	#MISSING
colsim-8	colsim Krusty the Clown, The Simpsons, Series 1	#MISSING
colsim-4	colsim Lisa Simpson, The Simpsons, Series 1	#MISSING
colsim-5	colsim Maggie Simpson, The Simpsons, Series 1	#MISSING
colsim-3	colsim Marge Simpson, The Simpsons, Series 1	#MISSING
colsim-9	colsim Milhouse Van Houten, The Simpsons, Series 1	#MISSING
colsim-16	colsim Mr. Burns, The Simpsons, Series 1	#MISSING
colsim-7	colsim Ned Flanders, The Simpsons, Series 1	#MISSING
colsim-12	colsim Nelson Muntz, The Simpsons, Series 1	#MISSING
colsim-10	colsim Ralph Wiggum, The Simpsons, Series 1	#MISSING
colsim-14	colsim Scratchy, The Simpsons, Series 1	#MISSING

// 71009-2	Minifigure, The Simpsons, Series 2 (Complete Series of 16 Complete Minifigure Sets)
colsim2-5	colsim2 Bartman, The Simpsons, Series 2
colsim2-7	colsim2 Comic Book Guy, The Simpsons, Series 2
colsim2-1	colsim2 Date Night Homer, The Simpsons, Series 2
colsim2-2	colsim2 Date Night Marge, The Simpsons, Series 2
colsim2-16	colsim2 Dr. Hibbert, The Simpsons, Series 2
colsim2-14	colsim2 Edna Krabappel, The Simpsons, Series 2
colsim2-6	colsim2 Fallout Boy Milhouse, The Simpsons, Series 2
colsim2-13	colsim2 Groundskeeper Willie, The Simpsons, Series 2
colsim2-10	colsim2 Hans Moleman, The Simpsons, Series 2
colsim2-3	colsim2 Lisa with Snowball II, The Simpsons, Series 2
colsim2-4	colsim2 Maggie and Santa's Little Helper, The Simpsons, Series 2
colsim2-8	colsim2 Martin Prince, The Simpsons, Series 2
colsim2-12	colsim2 Patty, The Simpsons, Series 2
colsim2-9	colsim2 Professor Frink, The Simpsons, Series 2
colsim2-11	colsim2 Selma, The Simpsons, Series 2
colsim2-15	colsim2 Waylon Smithers, The Simpsons, Series 2

// 71022-2	Minifigure, Harry Potter, Series 1 (Complete Series of 22 Complete Minifigure Sets)
colhp-9	colhp Lord Voldemort, Harry Potter, Series 1
colhp-16	colhp Albus Dumbledore, Harry Potter, Series 1	#MISSING
colhp-12	colhp Cedric Diggory, Harry Potter, Series 1	#MISSING
colhp-7	colhp Cho Chang, Harry Potter, Series 1	#MISSING
colhp-21	colhp Credence Barebone, Harry Potter, Series 1	#MISSING
colhp-8	colhp Dean Thomas, Harry Potter, Series 1	#MISSING
colhp-10	colhp Dobby, Harry Potter, Series 1	#MISSING
colhp-4	colhp Draco Malfoy, Harry Potter, Series 1	#MISSING
colhp-15	colhp Harry Potter in Pajamas, Harry Potter, Series 1	#MISSING
colhp-1	colhp Harry Potter in School Robes, Harry Potter, Series 1	#MISSING
colhp-2	colhp Hermione Granger in School Robes, Harry Potter, Series 1	#MISSING
colhp-19	colhp Jacob Kowalski, Harry Potter, Series 1	#MISSING
colhp-9	colhp Lord Voldemort, Harry Potter, Series 1	#MISSING
colhp-5	colhp Luna Lovegood, Harry Potter, Series 1	#MISSING
colhp-14	colhp Mad-Eye Moody, Harry Potter, Series 1	#MISSING
colhp-6	colhp Neville Longbottom, Harry Potter, Series 1	#MISSING
colhp-17	colhp Newt Scamander, Harry Potter, Series 1	#MISSING
colhp-22	colhp Percival Graves, Harry Potter, Series 1	#MISSING
colhp-13	colhp Professor Flitwick, Harry Potter, Series 1	#MISSING
colhp-11	colhp Professor Trelawney, Harry Potter, Series 1	#MISSING
colhp-20	colhp Queenie Goldstein, Harry Potter, Series 1	#MISSING
colhp-3	colhp Ron Weasley in School Robes, Harry Potter, Series 1	#MISSING
colhp-18	colhp Tina Goldstein, Harry Potter, Series 1	#MISSING

// 71028-2	Minifigure, Harry Potter, Series 2 (Complete Series of 16 Complete Minifigure Sets)
colhp2-8	colhp2 James Potter, Harry Potter, Series 2
colhp2-11	colhp2 George Weasley, Harry Potter, Series 2
colhp2-12	colhp2 Bellatrix Lestrange, Harry Potter, Series 2	#MISSING
colhp2-10	colhp2 Fred Weasley, Harry Potter, Series 2	#MISSING
colhp2-11	colhp2 George Weasley, Harry Potter, Series 2	#MISSING
colhp2-9	colhp2 Ginny Weasley, Harry Potter, Series 2	#MISSING
colhp2-6	colhp2 Griphook, Harry Potter, Series 2	#MISSING
colhp2-1	colhp2 Harry Potter, Harry Potter, Series 2	#MISSING
colhp2-2	colhp2 Headmaster Albus Dumbledore, Harry Potter, Series 2	#MISSING
colhp2-3	colhp2 Hermione Granger, Harry Potter, Series 2	#MISSING
colhp2-8	colhp2 James Potter, Harry Potter, Series 2	#MISSING
colhp2-13	colhp2 Kingsley Shacklebolt, Harry Potter, Series 2	#MISSING
colhp2-7	colhp2 Lily Potter, Harry Potter, Series 2	#MISSING
colhp2-5	colhp2 Luna Lovegood, Harry Potter, Series 2	#MISSING
colhp2-14	colhp2 Moaning Myrtle, Harry Potter, Series 2	#MISSING
colhp2-16	colhp2 Neville Longbottom, Harry Potter, Series 2	#MISSING
colhp2-15	colhp2 Professor Sprout, Harry Potter, Series 2	#MISSING
colhp2-4	colhp2 Ron Weasley, Harry Potter, Series 2	#MISSING

// 5004936-1	Iconic Cave
col302	Cave Man - Iconic Cave
col303	Cave Woman - Iconic Cave

# CITY

// 30588-1	Kids' Playground polybag
cty1333	Child - Girl, White Halter Top with Green Apples and Lime Spots, Medium Blue Short Legs, Dark Brown Hair with Buns, Freckles, Reddish Brown Backpack
cty1332	Skateboarder - Boy, Banana Shirt, Dark Azure Helmet, Backpack, Medium Blue Short Legs

// 7279-1	Police Minifigure Collection
cty0201	Police - Jail Prisoner Jacket over Prison Stripes, Dark Bluish Gray Legs, Dark Bluish Gray Knit Cap, Gold Tooth, Backpack	Missing part 92590
cty0027a	Police - City Leather Jacket with Gold Badge and 'POLICE' on Back, White Helmet, Trans-Brown Visor, Silver Sunglasses
cty0199	Police - City Suit with Blue Tie and Badge, Black Legs, White Short Bill Cap, Crooked Smile
cty0200	Police - Jail Prisoner 50380 Prison Stripes, Dark Bluish Gray Legs, Black Knit Cap, Smirk and Stubble Beard

// 60347-1	Grocery Store
cty1483	Forklift Driver - Female, Neon Yellow Safety Vest, Dark Blue Legs, White Cap with Bright Light Yellow Hair
cty1481	Girl - Dark Orange Hair, Bright Pink Hoodie, Sand Blue Short Legs
cty1482	Grocery Store Customer - Male, Bright Light Yellow Shirt, Medium Nougat Hair, Prosthetic Leg
cty1480	Mr. Produce
cty1479	Peapod Costume Girl - Green Jacket
